folder,famille,technology,f,gwp_constr
0_SD_MOB_gaz_gwp342,gaz,BUS_COACH_CNG_STOICH,1.315721,342.0
1_SD_MOB_gaz_gwp372,gaz,BUS_COACH_CNG_STOICH,1.217468,372.0
2_SD_MOB_gaz_gwp402,gaz,BUS_COACH_CNG_STOICH,1.195124,402.0
3_SD_MOB_gaz_gwp432,gaz,BUS_COACH_CNG_STOICH,0.966496,432.0
4_SD_MOB_gaz_gwp462,gaz,BUS_COACH_CNG_STOICH,1.414551,462.0
5_SD_MOB_gaz_gwp467,gaz,BUS_COACH_CNG_STOICH,1.08982,467.0
6_SD_MOB_gaz_gwp472,gaz,BUS_COACH_CNG_STOICH,1.180598,472.0
7_SD_MOB_gaz_gwp477,gaz,BUS_COACH_CNG_STOICH,1.061212,477.0
8_SD_MOB_gaz_gwp482,gaz,BUS_COACH_CNG_STOICH,1.283249,482.0
9_SD_MOB_gaz_gwp487,gaz,BUS_COACH_CNG_STOICH,1.319772,487.0
10_SD_MOB_gaz_gwp492,gaz,BUS_COACH_CNG_STOICH,1.107033,492.0
5_SD_MOB_gaz_gwp492,gaz,BUS_COACH_CNG_STOICH,1.107033,492.0
0_SD_MOB_gaz_gwp342,gaz,BUS_COACH_DIESEL,1.9405,342.0
1_SD_MOB_gaz_gwp372,gaz,BUS_COACH_DIESEL,3.232778,372.0
2_SD_MOB_gaz_gwp402,gaz,BUS_COACH_DIESEL,1.548277,402.0
3_SD_MOB_gaz_gwp432,gaz,BUS_COACH_DIESEL,3.315555,432.0
4_SD_MOB_gaz_gwp462,gaz,BUS_COACH_DIESEL,1.871924,462.0
5_SD_MOB_gaz_gwp467,gaz,BUS_COACH_DIESEL,1.284905,467.0
6_SD_MOB_gaz_gwp472,gaz,BUS_COACH_DIESEL,1.358466,472.0
7_SD_MOB_gaz_gwp477,gaz,BUS_COACH_DIESEL,1.969866,477.0
8_SD_MOB_gaz_gwp482,gaz,BUS_COACH_DIESEL,2.271024,482.0
9_SD_MOB_gaz_gwp487,gaz,BUS_COACH_DIESEL,4.286902,487.0
10_SD_MOB_gaz_gwp492,gaz,BUS_COACH_DIESEL,2.704047,492.0
5_SD_MOB_gaz_gwp492,gaz,BUS_COACH_DIESEL,2.704047,492.0
0_SD_MOB_gaz_gwp342,gaz,BUS_COACH_FC_HYBRIDH2,1.346645,342.0
1_SD_MOB_gaz_gwp372,gaz,BUS_COACH_FC_HYBRIDH2,1.802769,372.0
2_SD_MOB_gaz_gwp402,gaz,BUS_COACH_FC_HYBRIDH2,3.047943,402.0
3_SD_MOB_gaz_gwp432,gaz,BUS_COACH_FC_HYBRIDH2,0.971408,432.0
4_SD_MOB_gaz_gwp462,gaz,BUS_COACH_FC_HYBRIDH2,1.207802,462.0
5_SD_MOB_gaz_gwp467,gaz,BUS_COACH_FC_HYBRIDH2,0.738112,467.0
6_SD_MOB_gaz_gwp472,gaz,BUS_COACH_FC_HYBRIDH2,1.995471,472.0
7_SD_MOB_gaz_gwp477,gaz,BUS_COACH_FC_HYBRIDH2,2.590418,477.0
8_SD_MOB_gaz_gwp482,gaz,BUS_COACH_FC_HYBRIDH2,0.819264,482.0
9_SD_MOB_gaz_gwp487,gaz,BUS_COACH_FC_HYBRIDH2,1.758601,487.0
10_SD_MOB_gaz_gwp492,gaz,BUS_COACH_FC_HYBRIDH2,0.71859,492.0
5_SD_MOB_gaz_gwp492,gaz,BUS_COACH_FC_HYBRIDH2,0.71859,492.0
0_SD_MOB_gaz_gwp342,gaz,BUS_COACH_HYDIESEL,11.577573,342.0
1_SD_MOB_gaz_gwp372,gaz,BUS_COACH_HYDIESEL,11.142875,372.0
2_SD_MOB_gaz_gwp402,gaz,BUS_COACH_HYDIESEL,6.816458,402.0
3_SD_MOB_gaz_gwp432,gaz,BUS_COACH_HYDIESEL,6.303099,432.0
4_SD_MOB_gaz_gwp462,gaz,BUS_COACH_HYDIESEL,6.467099,462.0
5_SD_MOB_gaz_gwp467,gaz,BUS_COACH_HYDIESEL,6.178815,467.0
6_SD_MOB_gaz_gwp472,gaz,BUS_COACH_HYDIESEL,6.234553,472.0
7_SD_MOB_gaz_gwp477,gaz,BUS_COACH_HYDIESEL,6.251483,477.0
8_SD_MOB_gaz_gwp482,gaz,BUS_COACH_HYDIESEL,6.163789,482.0
9_SD_MOB_gaz_gwp487,gaz,BUS_COACH_HYDIESEL,6.771238,487.0
10_SD_MOB_gaz_gwp492,gaz,BUS_COACH_HYDIESEL,6.16509,492.0
5_SD_MOB_gaz_gwp492,gaz,BUS_COACH_HYDIESEL,6.16509,492.0
0_SD_MOB_gaz_gwp342,gaz,TRAIN_PUB,16.761751,342.0
1_SD_MOB_gaz_gwp372,gaz,TRAIN_PUB,17.151017,372.0
2_SD_MOB_gaz_gwp402,gaz,TRAIN_PUB,16.848792,402.0
3_SD_MOB_gaz_gwp432,gaz,TRAIN_PUB,19.377755,432.0
4_SD_MOB_gaz_gwp462,gaz,TRAIN_PUB,17.077387,462.0
5_SD_MOB_gaz_gwp467,gaz,TRAIN_PUB,16.532732,467.0
6_SD_MOB_gaz_gwp472,gaz,TRAIN_PUB,16.539326,472.0
7_SD_MOB_gaz_gwp477,gaz,TRAIN_PUB,17.968571,477.0
8_SD_MOB_gaz_gwp482,gaz,TRAIN_PUB,16.648137,482.0
9_SD_MOB_gaz_gwp487,gaz,TRAIN_PUB,18.256535,487.0
10_SD_MOB_gaz_gwp492,gaz,TRAIN_PUB,17.29132,492.0
5_SD_MOB_gaz_gwp492,gaz,TRAIN_PUB,17.29132,492.0
0_SD_MOB_gaz_gwp342,gaz,TRAMWAY_TROLLEY,9.863962,342.0
1_SD_MOB_gaz_gwp372,gaz,TRAMWAY_TROLLEY,8.907385,372.0
2_SD_MOB_gaz_gwp402,gaz,TRAMWAY_TROLLEY,8.584956,402.0
3_SD_MOB_gaz_gwp432,gaz,TRAMWAY_TROLLEY,9.642251,432.0
4_SD_MOB_gaz_gwp462,gaz,TRAMWAY_TROLLEY,9.941841,462.0
5_SD_MOB_gaz_gwp467,gaz,TRAMWAY_TROLLEY,11.456381,467.0
6_SD_MOB_gaz_gwp472,gaz,TRAMWAY_TROLLEY,9.908333,472.0
7_SD_MOB_gaz_gwp477,gaz,TRAMWAY_TROLLEY,9.143105,477.0
8_SD_MOB_gaz_gwp482,gaz,TRAMWAY_TROLLEY,9.780939,482.0
9_SD_MOB_gaz_gwp487,gaz,TRAMWAY_TROLLEY,10.608414,487.0
10_SD_MOB_gaz_gwp492,gaz,TRAMWAY_TROLLEY,9.236884,492.0
5_SD_MOB_gaz_gwp492,gaz,TRAMWAY_TROLLEY,9.236884,492.0
0_SD_MOB_hybride_gwp519,hybride,BUS_COACH_CNG_STOICH,1.107033,519.0
0_SD_MOB_hybride_gwp539,hybride,BUS_COACH_CNG_STOICH,1.182546,539.0
1_SD_MOB_hybride_gwp539,hybride,BUS_COACH_CNG_STOICH,1.182546,539.0
0_SD_MOB_hybride_gwp519,hybride,BUS_COACH_DIESEL,2.704047,519.0
0_SD_MOB_hybride_gwp539,hybride,BUS_COACH_DIESEL,1.743235,539.0
1_SD_MOB_hybride_gwp539,hybride,BUS_COACH_DIESEL,1.743235,539.0
0_SD_MOB_hybride_gwp519,hybride,BUS_COACH_FC_HYBRIDH2,0.71859,519.0
0_SD_MOB_hybride_gwp539,hybride,BUS_COACH_FC_HYBRIDH2,1.232748,539.0
1_SD_MOB_hybride_gwp539,hybride,BUS_COACH_FC_HYBRIDH2,1.232748,539.0
0_SD_MOB_hybride_gwp519,hybride,BUS_COACH_HYDIESEL,6.16509,519.0
0_SD_MOB_hybride_gwp539,hybride,BUS_COACH_HYDIESEL,10.590539,539.0
1_SD_MOB_hybride_gwp539,hybride,BUS_COACH_HYDIESEL,10.590539,539.0
0_SD_MOB_hybride_gwp519,hybride,TRAIN_PUB,17.29132,519.0
0_SD_MOB_hybride_gwp539,hybride,TRAIN_PUB,16.53676,539.0
1_SD_MOB_hybride_gwp539,hybride,TRAIN_PUB,16.53676,539.0
0_SD_MOB_hybride_gwp519,hybride,TRAMWAY_TROLLEY,9.236884,519.0
0_SD_MOB_hybride_gwp539,hybride,TRAMWAY_TROLLEY,9.292705,539.0
1_SD_MOB_hybride_gwp539,hybride,TRAMWAY_TROLLEY,9.292705,539.0
