folder;techno_modifiee;gwp_constr;f_H2_STORAGE;f_METHANOL_STORAGE;f_BATT_LI;f_TS_DEC_HP_ELEC;f_PHS;f_TS_HIGH_TEMP;f_GASOLINE_STORAGE;f_LFO_STORAGE;f_AMMONIA_STORAGE;f_DIESEL_STORAGE;f_TS_DHN_SEASONAL;f_GAS_STORAGE;f_TS_DEC_BOILER_WOOD;f_TS_DEC_THHP_GAS;f_TS_DEC_BOILER_GAS;f_TS_DEC_BOILER_OIL;f_TS_DEC_DIRECT_ELEC;f_TS_DEC_COGEN_GAS;f_TS_DEC_COGEN_OIL;f_TS_DEC_ADVCOGEN_H2;f_TS_DEC_ADVCOGEN_GAS;f_TS_DHN_DAILY;f_BEV_BATT;f_PHEV_BATT
0_CAS_Techno_H2_STORAGE_gwp10;H2_STORAGE;9.9;10.088708;0.104306;65.601954;58.377308;6.499952;25.913109;1.22627;1.236542;1.220658;1.214029;0.036977;0.004382;0.000164;0.000164;0.000164;0.000164;0.000163;0.000163;0.000163;0.000162;0.000161;7.4e-05;1.1e-05;7,00E-06
1_CAS_Techno_H2_STORAGE_gwp11;H2_STORAGE;10.9;10.058576;0.603255;65.555081;58.377298;6.499878;25.960417;3.262844;3.297552;3.249679;3.230092;0.099148;0.014181;0.000524;0.000524;0.000524;0.000523;0.000522;0.000521;0.000521;0.000517;0.000516;0.000266;4.1e-05;2.3e-05
2_CAS_Techno_H2_STORAGE_gwp12;H2_STORAGE;11.9;6.523139;71.682579;65.369713;58.377298;6.499984;26.15576;1.059569;1.065035;1.058365;1.055399;0.025346;0.003251;9.1e-05;9.1e-05;9.1e-05;9.1e-05;9.1e-05;9.1e-05;9.1e-05;9,00E-05;9,00E-05;4.1e-05;7,00E-06;4,00E-06
3_CAS_Techno_H2_STORAGE_gwp13;H2_STORAGE;12.9;6.195603;78.028745;65.34998;58.377299;6.499952;26.176609;0.501605;0.487372;0.48928;0.493;0.018161;0.001578;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.6e-05;2.9e-05;4,00E-06;3,00E-06
4_CAS_Techno_H2_STORAGE_gwp14;H2_STORAGE;13.9;2.642552;147.779494;64.967494;58.377301;6.499874;26.577228;2.902851;2.922928;2.884199;2.870364;0.090386;0.010427;0.000396;0.000396;0.000396;0.000395;0.000395;0.000394;0.000394;0.00039;0.00039;0.00019;2.9e-05;1.7e-05
5_CAS_Techno_H2_STORAGE_gwp14;H2_STORAGE;13.9;2.642552;147.779494;64.967494;58.377301;6.499874;26.577228;2.902851;2.922928;2.884199;2.870364;0.090386;0.010427;0.000396;0.000396;0.000396;0.000395;0.000395;0.000394;0.000394;0.00039;0.00039;0.00019;2.9e-05;1.7e-05
6_CAS_Techno_H2_STORAGE_gwp15;H2_STORAGE;14.9;2.642562;147.78338;64.967859;58.377303;6.499853;26.576727;3.288785;3.328565;3.277715;3.254808;0.084961;0.012571;0.000478;0.000477;0.000477;0.000477;0.000476;0.000475;0.000475;0.000472;0.000472;0.000241;3.6e-05;2.1e-05
7_CAS_Techno_H2_STORAGE_gwp16;H2_STORAGE;15.9;2.015834;159.652165;64.838552;58.377298;6.499943;26.79643;1.757939;1.759444;1.748019;1.744415;0.045854;0.006203;0.000194;0.000195;0.000194;0.000194;0.000194;0.000194;0.000194;0.000193;0.000193;0.000101;1.5e-05;9,00E-06
8_CAS_Techno_H2_STORAGE_gwp17;H2_STORAGE;16.9;2.013906;159.685601;64.838465;58.377298;6.499968;26.797371;0.834951;0.834217;0.827593;0.827025;0.023039;0.002761;9.1e-05;9.1e-05;9,00E-05;9,00E-05;9,00E-05;9,00E-05;9,00E-05;9,00E-05;9,00E-05;4.6e-05;7,00E-06;4,00E-06
9_CAS_Techno_H2_STORAGE_gwp18;H2_STORAGE;17.9;1.734996;164.6229;64.781094;58.3773;6.499956;26.940324;1.16335;1.165295;1.154876;1.152717;0.030717;0.004085;0.000145;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000143;0.000143;6.8e-05;1.1e-05;7,00E-06
