folder,techno_modifiee,gwp_constr,f_H2_STORAGE,f_METHANOL_STORAGE,f_CAR_FUEL_CELL,f_CAR_NG,f_CAR_DIESEL,f_CAR_HEV,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
0_CAS_Techno_H2_STORAGE_gwp10,H2_STORAGE,9.9,10.088708,,177.85219,1.258186,1.189872,2.137566,0.884312,3.269411,3.6e-05,1.1e-05
1_CAS_Techno_H2_STORAGE_gwp11,H2_STORAGE,10.9,10.058576,,178.102274,1.221263,0.844388,1.444629,4.376331,1.318468,0.000115,4.1e-05
2_CAS_Techno_H2_STORAGE_gwp12,H2_STORAGE,11.9,6.523139,,177.037539,2.035131,5.949786,2.28514,2.89193,1.62771,2e-05,7e-06
3_CAS_Techno_H2_STORAGE_gwp13,H2_STORAGE,12.9,6.195603,,189.70307,0.963296,2.824922,2.530865,3.630354,1.719096,1.3e-05,4e-06
4_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,13.9,2.642552,,180.41509,1.128145,5.808225,1.136054,0.991529,0.726241,8.6e-05,2.9e-05
5_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,13.9,2.642552,,180.41509,1.128145,5.808225,1.136054,0.991529,0.726241,8.6e-05,2.9e-05
6_CAS_Techno_H2_STORAGE_gwp15,H2_STORAGE,14.9,2.642562,,182.007511,1.831524,3.741597,3.488217,1.164545,1.695372,0.000108,3.7e-05
7_CAS_Techno_H2_STORAGE_gwp16,H2_STORAGE,15.9,2.015834,,179.648358,1.082703,5.26101,1.218985,1.094731,0.908763,4.3e-05,1.5e-05
8_CAS_Techno_H2_STORAGE_gwp17,H2_STORAGE,16.9,2.013906,,181.782809,3.835284,2.641672,0.985047,0.688227,1.99117,1.9e-05,7e-06
9_CAS_Techno_H2_STORAGE_gwp18,H2_STORAGE,17.9,1.734996,,179.435051,3.414137,1.744948,3.687404,1.95994,1.240614,3.4e-05,1.1e-05
10_CAS_Techno_H2_STORAGE_gwp19,H2_STORAGE,18.9,1.734879,,189.892489,3.01184,2.300265,1.788979,1.110685,0.895476,1.4e-05,5e-06
11_CAS_Techno_H2_STORAGE_gwp20,H2_STORAGE,19.9,1.725915,,176.979359,0.90996,2.709438,1.09415,2.414272,0.818568,7.8e-05,2.7e-05
12_CAS_Techno_H2_STORAGE_gwp21,H2_STORAGE,20.9,1.725349,,176.997103,4.019316,1.7218,2.893446,1.13551,1.741873,0.000102,3.2e-05
13_CAS_Techno_H2_STORAGE_gwp22,H2_STORAGE,21.9,1.725392,,177.416173,1.248494,1.597393,0.964909,1.097794,1.0956,2.8e-05,1e-05
14_CAS_Techno_H2_STORAGE_gwp23,H2_STORAGE,22.9,1.725152,,185.069313,2.262801,1.860143,1.83189,1.081841,1.738935,9.9e-05,3.5e-05
15_CAS_Techno_H2_STORAGE_gwp24,H2_STORAGE,23.9,1.725391,,186.264856,0.945829,2.8593,1.708369,0.966596,1.276343,2.7e-05,9e-06
16_CAS_Techno_H2_STORAGE_gwp25,H2_STORAGE,24.9,1.725357,,177.317202,0.60269,3.231277,1.038825,1.64837,2.066785,2.6e-05,8e-06
17_CAS_Techno_H2_STORAGE_gwp26,H2_STORAGE,25.9,1.725208,,182.418064,2.176169,0.684937,0.94392,4.80535,0.759862,8.2e-05,2.5e-05
18_CAS_Techno_H2_STORAGE_gwp27,H2_STORAGE,26.9,1.725378,,176.982078,6.349213,5.142707,4.02083,8.727324,1.404745,1e-05,3e-06
19_CAS_Techno_H2_STORAGE_gwp28,H2_STORAGE,27.9,1.72523,,178.06766,0.868455,2.053067,0.828781,4.544135,0.978428,8.7e-05,3.2e-05
20_CAS_Techno_H2_STORAGE_gwp29,H2_STORAGE,28.9,1.633097,,179.751586,2.97551,8.681368,1.818976,2.190182,1.423076,4e-05,1.4e-05
21_CAS_Techno_H2_STORAGE_gwp30,H2_STORAGE,29.9,1.413671,,177.744581,6.039428,3.561332,1.041285,2.098024,1.153654,2.9e-05,1e-05
22_CAS_Techno_H2_STORAGE_gwp31,H2_STORAGE,30.9,1.2058,,179.1173,6.60288,2.670519,5.251905,1.370884,1.822641,5.8e-05,1.9e-05
23_CAS_Techno_H2_STORAGE_gwp32,H2_STORAGE,31.9,1.197415,,178.038072,2.996458,4.371396,0.936127,3.045811,2.634333,3.5e-05,1.1e-05
24_CAS_Techno_H2_STORAGE_gwp33,H2_STORAGE,32.9,1.039529,,191.504896,6.473388,3.332673,1.799713,0.886719,1.911635,5.3e-05,1.8e-05
25_CAS_Techno_H2_STORAGE_gwp34,H2_STORAGE,33.9,1.039232,,177.137832,4.498765,0.812118,1.392712,1.565923,2.901697,2.6e-05,9e-06
26_CAS_Techno_H2_STORAGE_gwp35,H2_STORAGE,34.9,0.970062,,177.037592,3.201389,4.21711,1.151751,0.969235,3.090267,5.8e-05,2e-05
27_CAS_Techno_H2_STORAGE_gwp36,H2_STORAGE,35.9,0.969982,,188.674053,7.432186,1.567155,2.704234,1.10056,2.06586,6e-06,2e-06
28_CAS_Techno_H2_STORAGE_gwp37,H2_STORAGE,36.9,0.970134,,187.001621,1.480008,8.542185,1.515332,1.196192,1.323581,4e-05,1.5e-05
29_CAS_Techno_H2_STORAGE_gwp38,H2_STORAGE,37.9,0.970063,,178.959448,0.937458,0.74628,0.929328,3.039594,1.475017,9.3e-05,2.9e-05
0_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0057,,705.8927,180.181121,2.52216,1.116086,2.645399,1.882226,1.939332,6.4e-05,2.2e-05
1_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0063,,705.706574,178.175566,2.3692,4.885087,5.11712,1.02766,2.021297,4.2e-05,1.5e-05
2_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0069,,705.51959,177.427407,5.377468,7.179403,2.466702,2.285995,2.626779,9.1e-05,3.2e-05
3_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0075,,705.713824,184.449491,5.586987,2.032223,1.046334,1.039121,0.798322,5.6e-05,1.9e-05
4_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0081,,705.699781,176.985073,3.120798,1.489369,0.551441,1.268809,0.785817,4.2e-05,1.4e-05
5_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0087,,705.367461,178.993223,1.412257,3.796588,0.951157,1.333868,1.337414,7.2e-05,2.5e-05
6_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0093,,705.264284,186.460601,2.080521,1.228482,1.172166,0.813843,2.340413,0.000101,3.6e-05
7_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0098999999999999,,704.891871,176.982048,2.351423,5.847531,1.594219,2.325171,1.283302,5.5e-05,1.8e-05
8_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0104999999999999,,704.815238,177.424846,5.586268,0.909009,0.851154,0.851696,1.128377,4.6e-05,1.6e-05
9_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0110999999999999,,704.845317,176.981611,2.204699,1.707591,2.722445,1.355993,1.672313,9.8e-05,3.8e-05
10_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0116999999999999,,704.823624,180.948958,1.503509,4.090551,2.791097,2.382291,1.373968,8.4e-05,2.9e-05
11_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0122999999999999,,704.856845,176.982987,2.921234,1.917431,3.072285,0.98139,1.341034,7.2e-05,2.7e-05
12_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0128999999999999,,704.3533,177.042954,2.020408,6.864921,2.359471,4.798274,2.217924,0.000234,8.7e-05
13_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0134999999999999,,704.594545,185.457503,2.705863,2.841828,2.010968,10.59628,2.379349,0.000103,3.2e-05
14_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0140999999999999,,704.675872,177.177037,1.463818,5.316864,5.034328,1.245031,3.811934,8.1e-05,2.8e-05
15_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0146999999999999,,704.576791,178.777179,6.047629,2.369512,1.172906,0.937478,1.101606,0.000105,3.7e-05
16_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0152999999999999,,704.662193,177.347112,1.61122,7.904984,1.540247,6.562059,1.399854,0.00011,3.6e-05
17_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0158999999999999,,704.748134,181.419678,2.067538,1.201527,2.212575,3.207026,4.471014,9.4e-05,3.2e-05
18_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0164999999999999,,704.717843,181.9063,7.839588,6.547717,3.292803,5.497536,1.578769,4.6e-05,1.8e-05
19_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0170999999999999,,704.322033,189.811047,1.56966,2.548999,3.934755,1.784842,1.797838,7.5e-05,2.3e-05
20_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0176999999999999,,704.181652,176.97731,8.936719,2.527902,4.17858,2.232493,1.066151,3.7e-05,1.2e-05
21_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0182999999999999,,703.961925,177.406017,7.367151,1.652071,1.087749,1.121155,1.707047,0.000114,4.1e-05
22_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0188999999999999,,703.933445,177.060299,3.877123,4.119145,2.695066,1.156709,1.181116,5.4e-05,1.8e-05
23_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0194999999999999,,703.975836,177.038682,2.36303,1.242565,4.63494,2.574586,2.165691,7.7e-05,2.5e-05
24_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0200999999999999,,703.307434,177.076195,8.828973,3.675503,1.279776,4.182922,1.354292,0.000365,0.00013
25_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0206999999999999,,703.932042,178.915353,1.688026,3.320448,1.009314,7.457328,1.069496,8.8e-05,2.8e-05
26_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0212999999999999,,703.630482,179.272481,4.371011,2.531638,0.69238,2.167112,1.478154,9.9e-05,3.5e-05
