folder,techno_modifiee,gwp_constr,f_BATT_LI,f_PHS,f_TS_DEC_HP_ELEC,f_TS_HIGH_TEMP,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_HABER_BOSCH,f_GAS_TO_HVC,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
0_IS_Techno_BATT_LI_gwp61,BATT_LI,61.3,46.352946,,,,25.325483,14.93984,12.794624,12.400564,12.370876,10.313124,9.843914,9.336493,8.668828,7.490207,6.199412
1_IS_Techno_BATT_LI_gwp62,BATT_LI,61.8,46.351266,,,,25.07343,14.456473,12.669176,12.139077,11.571885,10.379496,10.157043,9.805981,8.792761,8.047324,6.670226
0_IS_Techno_BATT_LI_gwp62,BATT_LI,62.3,46.351243,,,,26.418911,15.816006,13.05706,13.370952,13.310165,10.819157,10.456365,10.056666,9.258043,7.950422,6.663902
2_IS_Techno_BATT_LI_gwp62,BATT_LI,62.3,46.351243,,,,26.418911,15.816006,13.05706,13.370952,13.310165,10.819157,10.456365,10.056666,9.258043,7.950422,6.663902
1_IS_Techno_BATT_LI_gwp68,BATT_LI,68.3,45.13881,,,,25.634839,14.923412,12.846515,12.339064,12.262969,10.479215,10.159341,9.684766,8.839658,7.895306,6.517
2_IS_Techno_BATT_LI_gwp74,BATT_LI,74.3,44.387251,,,,29.630266,18.317159,14.632839,14.520169,14.768187,12.356401,11.860162,11.129101,10.463889,9.191738,7.367431
3_IS_Techno_BATT_LI_gwp80,BATT_LI,80.3,40.23191,,,,28.222948,16.452698,13.796867,13.534089,13.507286,11.77304,11.408355,10.979299,9.775455,9.124853,7.472293
4_IS_Techno_BATT_LI_gwp86,BATT_LI,86.3,39.488047,,,,31.884463,19.707061,15.231211,15.459844,16.080642,13.386711,12.385825,11.515685,11.017759,9.493579,7.515611
5_IS_Techno_BATT_LI_gwp92,BATT_LI,92.3,36.151838,,,,27.340036,16.169341,13.629322,13.166833,13.197946,11.602337,11.37973,11.045664,9.735272,9.246141,7.567982
6_IS_Techno_BATT_LI_gwp98,BATT_LI,98.3,29.634955,,,,24.754671,14.442374,12.85455,11.869038,11.56831,10.410388,10.212796,9.860312,8.54352,8.238818,6.758579
7_IS_Techno_BATT_LI_gwp104,BATT_LI,104.3,28.321084,,,,27.845696,16.125605,13.854307,13.309693,12.790841,11.768636,11.54335,11.260996,9.815564,9.534731,7.847588
8_IS_Techno_BATT_LI_gwp110,BATT_LI,110.3,7.397624,,,,27.875458,15.989882,13.660571,13.070879,13.015973,11.405379,11.106167,10.536631,9.459898,8.857706,7.196769
9_IS_Techno_BATT_LI_gwp116,BATT_LI,116.3,1.748538,,,,29.283908,17.270755,14.116273,13.94646,14.231103,12.265766,11.806114,11.262884,10.185622,9.569057,7.821014
10_IS_Techno_BATT_LI_gwp122,BATT_LI,122.3,0.000355,,,,32.378614,19.242543,14.951668,15.09672,16.540324,13.13732,12.235107,11.31828,10.714423,9.332568,7.444065
0_IS_Techno_PHS_gwp8,PHS,8.33,,6.499388,,,25.325483,14.93984,12.794624,12.400564,12.370876,10.313124,9.843914,9.336493,8.668828,7.490207,6.199412
1_IS_Techno_PHS_gwp9,PHS,9.13,,6.499892,,,25.03643,14.884763,12.752633,12.4728,12.237881,10.418655,10.201706,9.897955,9.064602,8.000081,6.797847
2_IS_Techno_PHS_gwp10,PHS,9.93,,6.499715,,,27.534971,16.471913,13.511187,13.887252,13.532226,11.552666,11.369812,11.11758,9.956892,9.042153,7.661394
3_IS_Techno_PHS_gwp11,PHS,10.730000000000002,,6.499833,,,28.181975,16.486899,13.648496,13.638723,13.644389,11.641194,11.179297,10.734507,9.755061,8.791945,7.242177
4_IS_Techno_PHS_gwp12,PHS,11.530000000000005,,6.499886,,,26.213676,15.200371,13.066564,12.592264,12.395525,10.577777,10.197749,9.673912,8.819725,7.877094,6.475926
5_IS_Techno_PHS_gwp12,PHS,12.330000000000004,,6.499918,,,27.785531,17.365978,14.209981,13.879924,13.706878,11.966662,11.424617,10.783378,9.970019,8.969949,7.227906
6_IS_Techno_PHS_gwp13,PHS,13.130000000000004,,6.499815,,,26.34317,15.186716,13.212401,12.631309,12.460862,10.796831,10.552248,10.147641,8.933125,8.394394,6.893545
7_IS_Techno_PHS_gwp14,PHS,13.930000000000003,,6.499941,,,21.624292,12.620892,11.737424,10.415242,10.206849,8.945225,8.887769,8.484617,7.578653,6.969584,5.80924
8_IS_Techno_PHS_gwp15,PHS,14.730000000000006,,6.499983,,,27.181112,15.844454,13.668881,12.924181,12.840701,11.58818,11.295549,10.91349,9.533638,9.421039,7.786048
9_IS_Techno_PHS_gwp16,PHS,15.530000000000006,,6.499837,,,24.53411,14.288309,12.660482,11.856956,11.360768,10.321444,10.175509,9.795788,8.706914,8.019864,6.705161
10_IS_Techno_PHS_gwp16,PHS,16.330000000000005,,6.499878,,,21.28312,12.386569,11.596712,10.271023,9.818691,8.636864,8.588112,8.11493,7.218729,6.679361,5.492768
11_IS_Techno_PHS_gwp17,PHS,17.130000000000006,,6.499865,,,23.043738,13.885941,12.078724,11.772236,11.432198,9.558057,9.329426,8.942937,8.043367,7.033529,5.884049
12_IS_Techno_PHS_gwp18,PHS,17.930000000000007,,6.499956,,,27.588383,16.002032,13.694078,13.55361,12.815357,11.254376,11.474751,11.427177,10.211521,9.282243,7.407211
13_IS_Techno_PHS_gwp19,PHS,18.730000000000008,,6.499987,,,26.921436,16.137721,13.253266,13.39699,13.40225,11.152106,10.714485,10.506169,9.763609,8.299914,6.714891
14_IS_Techno_PHS_gwp20,PHS,19.53000000000001,,6.499973,,,24.764009,14.783292,12.978855,12.099317,11.922122,10.635209,10.724176,10.550385,9.460603,8.990839,7.47113
15_IS_Techno_PHS_gwp20,PHS,20.33000000000001,,6.499949,,,28.141807,17.005523,13.956122,13.548489,13.953499,13.44366,11.455276,10.672525,9.914175,8.702322,7.013427
16_IS_Techno_PHS_gwp21,PHS,21.13000000000001,,6.499902,,,26.65135,15.038874,13.544829,12.650465,12.638728,16.491357,11.093405,10.60393,9.624361,8.822797,7.003132
17_IS_Techno_PHS_gwp22,PHS,21.93000000000001,,6.499986,,,25.832846,14.9162,13.027922,12.184186,12.317049,17.370574,11.308199,10.111616,9.390354,8.157845,6.468873
18_IS_Techno_PHS_gwp23,PHS,22.73000000000001,,6.499956,,,25.134598,15.817708,13.048322,12.141422,12.538654,11.663496,9.995583,9.314491,8.760168,7.641744,6.327305
19_IS_Techno_PHS_gwp24,PHS,23.53000000000001,,6.499945,,,27.594833,17.081191,13.880285,13.026479,13.32143,13.298734,10.982391,10.253354,9.438689,8.488855,6.760411
20_IS_Techno_PHS_gwp24,PHS,24.330000000000013,,6.499938,,,27.195789,16.725819,13.731353,12.757877,13.409577,14.04892,11.189165,10.364275,9.535549,8.83604,8.054908
21_IS_Techno_PHS_gwp25,PHS,25.130000000000013,,6.499939,,,28.446511,17.250056,14.128388,13.204724,13.24881,13.594224,11.157546,10.473021,9.578545,8.569347,6.569005
22_IS_Techno_PHS_gwp26,PHS,25.93000000000001,,6.499745,,,23.040811,13.476041,12.675896,11.185038,10.474,11.481621,10.173197,10.079128,8.443497,8.131926,7.299405
