folder,techno_modifiee,gwp_constr,f_BATT_LI,f_PHS,f_TS_DEC_HP_ELEC,f_TS_HIGH_TEMP,f_TRUCK_ELEC,f_BOAT_FREIGHT_DIESEL,f_TRUCK_FUEL_CELL,f_TRAIN_FREIGHT,f_TRUCK_DIESEL,f_BOAT_FREIGHT_NG,f_BOAT_FREIGHT_METHANOL,f_TRUCK_METHANOL,f_TRUCK_NG
0_IS_Techno_BATT_LI_gwp61,BATT_LI,61.3,46.352946,,,,56.161505,28.090075,44.258186,7.730421,12.272722,7.524514,2.641781,5.374193,1.57431
1_IS_Techno_BATT_LI_gwp62,BATT_LI,61.8,46.351266,,,,51.500656,27.986835,26.126907,7.73042,8.409141,7.674791,3.330414,15.349954,8.053622
0_IS_Techno_BATT_LI_gwp62,BATT_LI,62.3,46.351243,,,,51.476409,28.14215,6.568308,7.73042,3.324757,12.173827,1.130148,2.089789,11.263974
2_IS_Techno_BATT_LI_gwp62,BATT_LI,62.3,46.351243,,,,51.476409,28.14215,6.568308,7.73042,3.324757,12.173827,1.130148,2.089789,11.263974
1_IS_Techno_BATT_LI_gwp68,BATT_LI,68.3,45.13881,,,,51.479039,28.03951,17.860205,7.730421,3.643639,7.903436,4.374797,2.688004,17.110133
2_IS_Techno_BATT_LI_gwp74,BATT_LI,74.3,44.387251,,,,51.585468,28.272734,0.856662,7.730421,3.758505,8.06094,3.457733,2.788092,1.261946
3_IS_Techno_BATT_LI_gwp80,BATT_LI,80.3,40.23191,,,,51.483745,28.087663,0.976305,7.730421,0.475607,6.821206,4.464573,0.909508,3.523159
4_IS_Techno_BATT_LI_gwp86,BATT_LI,86.3,39.488047,,,,51.507157,28.341911,0.254392,7.730421,0.321138,2.455849,2.101978,0.347703,0.764555
5_IS_Techno_BATT_LI_gwp92,BATT_LI,92.3,36.151838,,,,55.300176,28.074229,8.150958,7.73042,3.135822,5.486744,2.112749,0.643895,0.569422
6_IS_Techno_BATT_LI_gwp98,BATT_LI,98.3,29.634955,,,,56.774933,27.993803,35.757202,7.73042,3.704676,6.169605,1.569254,0.514557,1.592945
7_IS_Techno_BATT_LI_gwp104,BATT_LI,104.3,28.321084,,,,51.582486,28.025649,21.981135,7.73042,5.582282,5.701001,2.335665,0.271572,0.079819
8_IS_Techno_BATT_LI_gwp110,BATT_LI,110.3,7.397624,,,,51.504458,28.047898,14.949375,7.73042,12.146652,6.228197,1.511257,0.336083,2.572742
9_IS_Techno_BATT_LI_gwp116,BATT_LI,116.3,1.748538,,,,51.640799,28.142852,3.489139,7.730419,0.520327,4.714864,2.358761,0.549873,0.895396
10_IS_Techno_BATT_LI_gwp122,BATT_LI,122.3,0.000355,,,,52.392027,28.275368,1.591008,7.73042,0.514921,2.634657,1.771316,0.604511,0.549438
0_IS_Techno_PHS_gwp8,PHS,8.33,,6.499388,,,56.161505,28.090075,44.258186,7.730421,12.272722,7.524514,2.641781,5.374193,1.57431
1_IS_Techno_PHS_gwp9,PHS,9.13,,6.499892,,,52.282009,28.00773,16.251172,7.73042,4.097079,7.90513,1.576088,9.833815,1.461112
2_IS_Techno_PHS_gwp10,PHS,9.93,,6.499715,,,51.758197,28.146501,2.95007,7.730421,0.096936,11.398625,2.117344,2.49891,6.633054
3_IS_Techno_PHS_gwp11,PHS,10.730000000000002,,6.499833,,,51.497646,28.068665,1.081435,7.730421,16.094788,7.148602,3.754752,1.283277,4.092496
4_IS_Techno_PHS_gwp12,PHS,11.530000000000005,,6.499886,,,56.439218,28.006279,0.187607,7.73042,4.387059,9.820385,6.803655,0.777605,0.210674
5_IS_Techno_PHS_gwp12,PHS,12.330000000000004,,6.499918,,,53.557078,28.219982,3.534678,7.73042,5.683178,4.384097,2.617939,0.519411,4.111881
6_IS_Techno_PHS_gwp13,PHS,13.130000000000004,,6.499815,,,57.69547,28.025007,9.884741,7.73042,12.834658,8.092368,3.296213,0.947565,9.307739
7_IS_Techno_PHS_gwp14,PHS,13.930000000000003,,6.499941,,,51.485884,27.971513,14.113092,7.73042,2.798573,9.220002,2.988931,9.28772,63.64024
