folder,techno_modifiee,gwp_constr,f_BATT_LI,f_PHS,f_TS_DEC_HP_ELEC,f_TS_HIGH_TEMP,f_CAR_FUEL_CELL,f_CAR_HEV,f_CAR_DIESEL,f_CAR_NG,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
0_IS_Techno_BATT_LI_gwp61,BATT_LI,61.3,46.352946,,,,177.003228,2.464583,1.108947,2.843635,0.960862,2.106714,5.3e-05,1.9e-05
1_IS_Techno_BATT_LI_gwp62,BATT_LI,61.8,46.351266,,,,179.224488,2.7957,3.690157,3.964521,1.731712,2.158538,3.8e-05,1e-05
0_IS_Techno_BATT_LI_gwp62,BATT_LI,62.3,46.351243,,,,178.162996,4.144201,8.517347,4.215716,1.222721,1.1404,1.4e-05,4e-06
2_IS_Techno_BATT_LI_gwp62,BATT_LI,62.3,46.351243,,,,178.162996,4.144201,8.517347,4.215716,1.222721,1.1404,1.4e-05,4e-06
1_IS_Techno_BATT_LI_gwp68,BATT_LI,68.3,45.13881,,,,177.784258,1.465892,3.263063,9.422612,4.243541,4.066076,7.6e-05,2.4e-05
2_IS_Techno_BATT_LI_gwp74,BATT_LI,74.3,44.387251,,,,177.574316,0.891577,1.351705,3.607606,1.315249,0.966572,9.1e-05,3.2e-05
3_IS_Techno_BATT_LI_gwp80,BATT_LI,80.3,40.23191,,,,183.98964,9.122437,2.126824,3.535667,2.21786,2.347142,5.3e-05,1.6e-05
4_IS_Techno_BATT_LI_gwp86,BATT_LI,86.3,39.488047,,,,177.03352,1.779264,1.068079,1.39141,1.828726,1.321533,4.9e-05,1.7e-05
5_IS_Techno_BATT_LI_gwp92,BATT_LI,92.3,36.151838,,,,177.093785,6.491341,5.602366,1.283805,2.764702,5.096472,3e-06,1e-06
6_IS_Techno_BATT_LI_gwp98,BATT_LI,98.3,29.634955,,,,177.560975,9.682149,7.355837,6.120344,1.310157,4.106814,9.2e-05,3e-05
7_IS_Techno_BATT_LI_gwp104,BATT_LI,104.3,28.321084,,,,176.996752,2.407988,1.252665,4.785159,5.214943,2.329458,6.3e-05,2.4e-05
8_IS_Techno_BATT_LI_gwp110,BATT_LI,110.3,7.397624,,,,181.718607,2.471823,6.802302,3.224153,2.834257,3.486804,7.8e-05,2.9e-05
9_IS_Techno_BATT_LI_gwp116,BATT_LI,116.3,1.748538,,,,179.37918,1.428427,2.64901,5.17753,1.863377,1.325089,8.4e-05,2.7e-05
10_IS_Techno_BATT_LI_gwp122,BATT_LI,122.3,0.000355,,,,177.015137,2.238123,2.356958,2.181634,1.185114,1.944241,0.000143,4.7e-05
0_IS_Techno_PHS_gwp8,PHS,8.33,,6.499388,,,177.003228,2.464583,1.108947,2.843635,0.960862,2.106714,5.3e-05,1.9e-05
1_IS_Techno_PHS_gwp9,PHS,9.13,,6.499892,,,185.874539,1.28464,4.825086,0.948577,3.691938,1.393313,3.4e-05,1e-05
2_IS_Techno_PHS_gwp10,PHS,9.93,,6.499715,,,180.977939,1.303177,1.754623,0.837003,1.458292,3.061253,4.2e-05,1.3e-05
3_IS_Techno_PHS_gwp11,PHS,10.730000000000002,,6.499833,,,177.889128,1.982139,3.841627,2.05036,1.11936,1.291617,5.1e-05,1.5e-05
4_IS_Techno_PHS_gwp12,PHS,11.530000000000005,,6.499886,,,180.708601,1.395496,21.75781,4.635786,4.125917,2.105703,1.9e-05,6e-06
5_IS_Techno_PHS_gwp12,PHS,12.330000000000004,,6.499918,,,177.481174,2.768474,3.927348,2.509842,1.156445,2.508778,2.1e-05,7e-06
6_IS_Techno_PHS_gwp13,PHS,13.130000000000004,,6.499815,,,178.376855,2.859211,3.920037,1.374136,1.130968,3.60972,3.3e-05,1.2e-05
7_IS_Techno_PHS_gwp14,PHS,13.930000000000003,,6.499941,,,177.695582,3.217002,2.312608,5.850727,1.255589,4.952874,1.9e-05,6e-06
8_IS_Techno_PHS_gwp15,PHS,14.730000000000006,,6.499983,,,184.563934,2.641966,1.389621,5.611589,1.49119,2.641885,1.5e-05,6e-06
9_IS_Techno_PHS_gwp16,PHS,15.530000000000006,,6.499837,,,177.310614,5.057347,1.204259,7.938562,1.422116,5.259629,7e-05,2.2e-05
10_IS_Techno_PHS_gwp16,PHS,16.330000000000005,,6.499878,,,187.705384,48.649174,0.853439,1.718234,0.97797,3.014439,1.7e-05,6e-06
