folder,techno_modifiee,gwp_constr,f_CAR_GASOLINE,f_CAR_HEV,f_CAR_DIESEL,f_CAR_PHEV,f_CAR_BEV,f_CAR_NG,f_CAR_METHANOL,f_CAR_FUEL_CELL
0_SD_MOB_gaz_gwp342,gaz,342.0,0.000207,0.0,176.964332,3.8e-05,2.9e-05,1.1e-05,0.0,0.0
1_SD_MOB_gaz_gwp372,gaz,372.0,4.1e-05,0.0,176.96455,1.4e-05,1.1e-05,0.0,0.0,0.0
2_SD_MOB_gaz_gwp402,gaz,402.0,0.000121,0.0,176.964451,2.3e-05,2e-05,3e-06,0.0,0.0
3_SD_MOB_gaz_gwp432,gaz,432.0,3.6e-05,0.0,176.964565,1e-05,9e-06,0.0,0.0,0.0
4_SD_MOB_gaz_gwp462,gaz,462.0,4.3e-05,3e-06,176.964549,1.1e-05,9e-06,3e-06,0.0,0.0
5_SD_MOB_gaz_gwp467,gaz,467.0,0.000169,1e-05,176.964344,4e-05,3.4e-05,1.4e-05,7e-06,0.0
6_SD_MOB_gaz_gwp472,gaz,472.0,0.000137,3e-06,176.964457,1.1e-05,9e-06,1e-06,0.0,0.0
7_SD_MOB_gaz_gwp477,gaz,477.0,6.4e-05,2.5e-05,176.964485,2e-05,1.7e-05,1.1e-05,0.0,0.0
8_SD_MOB_gaz_gwp482,gaz,482.0,0.00012,0.000128,176.964185,8.2e-05,7.1e-05,3.6e-05,4e-06,0.0
9_SD_MOB_gaz_gwp487,gaz,487.0,1.6e-05,0.000144,176.964381,4.2e-05,3.6e-05,2e-06,1e-06,0.0
10_SD_MOB_gaz_gwp492,gaz,492.0,0.000315,176.96229,0.001911,5.3e-05,4.5e-05,1e-05,2e-06,0.0
5_SD_MOB_gaz_gwp492,gaz,492.0,0.000315,176.96229,0.001911,5.3e-05,4.5e-05,1e-05,2e-06,0.0
0_SD_MOB_hybride_gwp519,hybride,519.0,0.000315,176.96229,0.001911,5.3e-05,4.5e-05,1e-05,2e-06,0.0
0_SD_MOB_hybride_gwp539,hybride,539.0,1.3e-05,2e-06,176.964593,5e-06,5e-06,1e-06,0.0,0.0
1_SD_MOB_hybride_gwp539,hybride,539.0,1.3e-05,2e-06,176.964593,5e-06,5e-06,1e-06,0.0,0.0
