folder,techno_modifiee,gwp_constr,f_CAR_GASOLINE,f_CAR_HEV,f_TRUCK_DIESEL,f_BOAT_FREIGHT_DIESEL,f_BOAT_FREIGHT_NG,f_TRUCK_FUEL_CELL,f_TRAIN_FREIGHT,f_TRUCK_NG,f_BOAT_FREIGHT_METHANOL,f_TRUCK_METHANOL,f_TRUCK_ELEC
0_SD_MOB_gaz_gwp342,gaz,342.0,0.000207,,51.489192,34.024736,9.271915,4.469514,7.730421,6.294586,1.92074,0.436517,2.183228
1_SD_MOB_gaz_gwp372,gaz,372.0,4.1e-05,,51.716127,56.986271,7.075965,13.50314,7.73042,6.711709,4.019546,0.980228,0.482009
2_SD_MOB_gaz_gwp402,gaz,402.0,0.000121,,51.600076,29.474808,7.28621,0.927619,7.73042,1.084815,2.99358,19.834214,11.226492
3_SD_MOB_gaz_gwp432,gaz,432.0,3.6e-05,,52.309987,28.038269,24.806324,16.729826,7.73042,0.269899,5.57689,3.655875,5.433388
4_SD_MOB_gaz_gwp462,gaz,462.0,4.3e-05,,51.494658,29.069916,19.174173,6.779123,7.73042,3.007224,15.88416,1.451376,0.756031
5_SD_MOB_gaz_gwp467,gaz,467.0,0.000169,,51.495761,28.410329,31.714969,5.744187,7.730421,0.404182,0.92313,4.635193,0.154071
6_SD_MOB_gaz_gwp472,gaz,472.0,0.000137,,51.580513,28.145212,22.468702,3.933186,7.73042,0.423345,1.474445,0.793479,0.134965
7_SD_MOB_gaz_gwp477,gaz,477.0,6.4e-05,,51.529107,28.081071,16.035752,11.622737,7.73042,1.342326,4.301987,0.689946,7.498785
8_SD_MOB_gaz_gwp482,gaz,482.0,0.00012,,51.828752,28.562931,18.356179,4.051214,7.730421,0.571194,0.661924,0.81262,0.882643
9_SD_MOB_gaz_gwp487,gaz,487.0,1.6e-05,,51.525596,28.466738,22.578816,5.233945,7.730421,5.82302,1.454784,4.640578,0.233435
10_SD_MOB_gaz_gwp492,gaz,492.0,0.000315,,51.649786,27.979646,23.705754,11.236496,7.730421,6.13824,1.228794,2.823429,0.162852
5_SD_MOB_gaz_gwp492,gaz,492.0,0.000315,,51.649786,27.979646,23.705754,11.236496,7.730421,6.13824,1.228794,2.823429,0.162852
0_SD_MOB_hybride_gwp519,hybride,519.0,,176.96229,51.649786,27.979646,23.705754,11.236496,7.730421,6.13824,1.228794,2.823429,0.162852
0_SD_MOB_hybride_gwp539,hybride,539.0,,2e-06,53.470279,28.189963,18.392398,9.083551,7.73042,4.461227,3.059253,0.176597,2.051822
1_SD_MOB_hybride_gwp539,hybride,539.0,,2e-06,53.470279,28.189963,18.392398,9.083551,7.73042,4.461227,3.059253,0.176597,2.051822
