folder,techno_modifiee,gwp_constr,f_CAR_GASOLINE,f_CAR_HEV,f_TS_DHN_SEASONAL,f_METHANOL_STORAGE,f_TS_HIGH_TEMP,f_TS_DEC_HP_ELEC,f_BATT_LI,f_PHS,f_GASOLINE_STORAGE,f_DIESEL_STORAGE,f_LFO_STORAGE,f_AMMONIA_STORAGE,f_GAS_STORAGE,f_H2_STORAGE,f_TS_DEC_BOILER_WOOD,f_TS_DEC_THHP_GAS,f_TS_DEC_BOILER_GAS,f_TS_DEC_BOILER_OIL,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_COGEN_GAS,f_TS_DEC_COGEN_OIL,f_TS_DEC_ADVCOGEN_H2,f_TS_DEC_ADVCOGEN_GAS,f_TS_DHN_DAILY,f_BEV_BATT,f_PHEV_BATT
0_SD_MOB_gaz_gwp342,gaz,342.0,0.000207,,1077.184638,288.942057,71.280496,60.587744,32.813806,6.499821,4.052754,4.011041,4.036228,4.00965,0.01443,0.00284,0.00046,0.00046,0.00046,0.00046,0.00046,0.000459,0.000459,0.000457,0.000456,0.000153,2.9e-05,8e-06
1_SD_MOB_gaz_gwp372,gaz,372.0,4.1e-05,,1077.106199,291.005273,71.281426,60.597032,32.807558,6.499954,1.431707,1.423923,1.430463,1.426209,0.005113,0.000986,0.000147,0.000147,0.000147,0.000147,0.000147,0.000147,0.000147,0.000146,0.000146,5.2e-05,1.1e-05,3e-06
2_SD_MOB_gaz_gwp402,gaz,402.0,0.000121,,1077.136523,291.314331,71.283866,60.597402,32.80637,6.499968,1.782241,1.770527,1.798828,1.780659,0.007828,0.001539,0.000232,0.000232,0.000232,0.000232,0.000231,0.000231,0.000231,0.000229,0.000228,8.6e-05,2e-05,5e-06
3_SD_MOB_gaz_gwp432,gaz,432.0,3.6e-05,,1077.147301,289.335999,71.275904,60.593813,32.811428,6.499991,1.107295,1.103957,1.105159,1.104246,0.00359,0.000696,8.9e-05,8.9e-05,8.9e-05,8.9e-05,8.9e-05,8.9e-05,8.9e-05,8.9e-05,8.9e-05,3.1e-05,8e-06,2e-06
4_SD_MOB_gaz_gwp462,gaz,462.0,4.3e-05,,1077.153489,289.044195,71.274483,60.596888,32.812457,6.499982,1.179648,1.174015,1.17242,1.171908,0.004013,0.000759,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,3.5e-05,9e-06,2e-06
5_SD_MOB_gaz_gwp467,gaz,467.0,0.000169,,1077.20366,288.983574,71.277928,60.593827,32.813312,6.499805,3.430738,3.373753,3.315654,3.332396,0.011644,0.002284,0.00034,0.00034,0.00034,0.000339,0.000339,0.000339,0.000339,0.000338,0.000337,0.000139,3.4e-05,8e-06
6_SD_MOB_gaz_gwp472,gaz,472.0,0.000137,,1077.184008,288.924121,71.27245,60.598514,32.811683,6.49998,1.226408,1.220116,1.22473,1.221143,0.004174,0.000787,0.000111,0.000111,0.000111,0.000111,0.000111,0.000111,0.000111,0.00011,0.00011,4e-05,9e-06,2e-06
7_SD_MOB_gaz_gwp477,gaz,477.0,6.4e-05,,1077.033968,292.44012,71.293561,60.570517,32.79995,6.499971,1.881779,1.869665,1.874493,1.869437,0.006333,0.001249,0.000176,0.000176,0.000176,0.000176,0.000175,0.000175,0.000175,0.000175,0.000174,6.1e-05,1.7e-05,4e-06
8_SD_MOB_gaz_gwp482,gaz,482.0,0.00012,,1077.198392,288.492486,71.272017,60.600232,32.814966,6.499807,5.422292,5.36697,5.467748,5.389641,0.018824,0.003631,0.000578,0.000578,0.000577,0.000577,0.000577,0.000576,0.000576,0.000573,0.000573,0.000221,7.1e-05,1.6e-05
9_SD_MOB_gaz_gwp487,gaz,487.0,1.6e-05,,1077.155995,289.627019,71.278788,60.59803,32.81125,6.499761,4.771338,4.698763,4.66162,4.662832,0.016243,0.002866,0.000433,0.000433,0.000433,0.000432,0.000432,0.000432,0.000432,0.000431,0.00043,0.000182,3.5e-05,8e-06
