folder,techno_modifiee,gwp_constr,f_BATT_LI,f_BEV_BATT,f_BIOFUELS,f_GAS_STORAGE,f_H2_STORAGE,f_PHEV_BATT,f_TS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
Techno_BATT_LI_gwp0,BATT_LI,0.0,149.180156,,,,,,,,,,,17.463661,9.416073,6.13512,0.473826,0.759232,0.871876
Techno_BATT_LI_gwp1,BATT_LI,1.2999999999999972,121.270062,,,,,,,,,,,16.755026,8.216266,6.159677,0.950964,0.719317,0.98166
Techno_BATT_LI_gwp6,BATT_LI,6.299999999999997,75.060941,,,,,,,,,,,16.87432,9.857001,7.595658,0.960524,1.275404,1.000883
Techno_BATT_LI_gwp11,BATT_LI,11.299999999999995,68.546904,,,,,,,,,,,17.038785,9.294501,8.403239,1.494446,2.011965,1.320444
Techno_BATT_LI_gwp16,BATT_LI,16.299999999999997,66.269032,,,,,,,,,,,16.542699,9.148002,6.933071,0.946138,0.807025,0.893873
Techno_BATT_LI_gwp21,BATT_LI,21.3,60.737772,,,,,,,,,,,16.890325,9.140801,6.16072,1.446264,0.834385,1.073527
Techno_BATT_LI_gwp26,BATT_LI,26.3,59.89814,,,,,,,,,,,16.571305,9.220752,8.66484,1.158177,0.615645,1.092805
Techno_BATT_LI_gwp31,BATT_LI,31.3,58.823935,,,,,,,,,,,18.783553,11.214141,8.966273,2.676582,0.48752,0.995629
Techno_BATT_LI_gwp36,BATT_LI,36.3,57.281272,,,,,,,,,,,16.653917,9.182466,6.499853,4.274469,1.100216,1.09723
Techno_BATT_LI_gwp41,BATT_LI,41.3,53.553894,,,,,,,,,,,19.605481,12.553543,7.2732,1.711773,0.974572,1.076356
