folder,techno_modifiee,gwp_constr,f_CAR_BEV,f_CAR_FUEL_CELL,f_CAR_HEV,f_TRUCK_DIESEL,f_BOAT_FREIGHT_DIESEL,f_TRUCK_FUEL_CELL,f_TRAIN_FREIGHT,f_BOAT_FREIGHT_NG,f_BOAT_FREIGHT_METHANOL,f_TRUCK_NG,f_TRUCK_METHANOL,f_TRUCK_ELEC
24_MOB_electrique_gwp0,electrique,0.0,3.3e-05,,,51.519838,44.052496,2.576755,7.73042,4.608976,3.53741,6.966316,0.346565,4.148481
39_MOB_electrique_gwp0,electrique,0.0,3.3e-05,,,51.519838,44.052496,2.576755,7.73042,4.608976,3.53741,6.966316,0.346565,4.148481
38_MOB_electrique_gwp5,electrique,5.0,2.3e-05,,,51.493373,49.917091,0.429227,7.73042,8.199349,2.523701,6.371396,0.656749,0.091054
37_MOB_electrique_gwp15,electrique,15.0,5e-06,,,53.56209,41.330733,23.326328,7.73042,7.911513,1.81989,1.167708,4.330921,6.409091
36_MOB_electrique_gwp25,electrique,25.0,3.3e-05,,,51.489848,60.427146,15.739158,7.73042,2.497776,12.128649,0.490616,1.417664,1.362641
35_MOB_electrique_gwp35,electrique,35.0,6.2e-05,,,52.045005,34.366767,14.680031,7.730421,7.777627,4.260311,0.487115,0.773312,2.841608
34_MOB_electrique_gwp45,electrique,45.0,9e-06,,,51.48912,92.450893,4.662602,7.73042,6.12645,1.699652,1.36877,5.634948,0.816554
33_MOB_electrique_gwp55,electrique,55.0,1.2e-05,,,51.485797,36.86142,21.58062,7.73042,10.257052,2.375468,16.102602,19.998751,0.233145
32_MOB_electrique_gwp65,electrique,65.0,3.8e-05,,,51.491026,39.918841,0.225225,7.730421,8.537048,5.664672,0.214059,0.524781,2.774029
31_MOB_electrique_gwp75,electrique,75.0,1.8e-05,,,54.554341,52.390083,2.508539,7.73042,13.925202,16.503733,0.15061,0.438296,2.93384
30_MOB_electrique_gwp85,electrique,85.0,7e-06,,,53.759199,50.712259,9.369287,7.73042,2.41088,14.41981,2.515496,2.799455,1.720112
29_MOB_electrique_gwp95,electrique,95.0,7.5e-05,,,75.412003,35.089828,4.512711,7.730421,7.599654,4.086887,3.063635,2.35388,1.7054
28_MOB_electrique_gwp105,electrique,105.0,9.2e-05,,,51.49208,41.80028,0.704321,7.730421,8.402427,3.23825,2.37531,3.253105,0.196451
27_MOB_electrique_gwp115,electrique,115.0,5e-06,,,52.90662,36.831834,4.694006,7.73042,7.054598,3.637386,1.6323,1.81911,1.140639
26_MOB_electrique_gwp125,electrique,125.0,1.2e-05,,,51.628297,40.188956,8.654883,7.73042,5.879429,2.783703,0.764869,0.606538,1.712671
25_MOB_electrique_gwp135,electrique,135.0,7e-05,,,51.493185,51.91207,1.214057,7.73042,17.910989,2.681649,1.420869,0.48399,3.222831
24_MOB_electrique_gwp145,electrique,145.0,1.6e-05,,,51.497793,36.767213,32.676735,7.73042,7.148349,3.690468,21.924358,4.012806,5.401337
23_MOB_electrique_gwp155,electrique,155.0,2.4e-05,,,51.851206,46.653616,4.679136,7.730421,5.21577,4.4712,0.58076,0.780803,0.589801
22_MOB_electrique_gwp165,electrique,165.0,1.3e-05,,,51.559265,41.252014,10.616694,7.730421,6.026039,1.969796,0.689214,12.12668,12.410201
21_MOB_electrique_gwp175,electrique,175.0,1e-05,,,57.868251,45.00705,5.817416,7.73042,7.787781,1.933678,0.753543,14.603642,4.143876
20_MOB_electrique_gwp185,electrique,185.0,2.9e-05,,,64.867351,36.569338,17.377456,7.730421,5.289524,3.377392,0.399029,2.78974,0.173132
19_MOB_electrique_gwp195,electrique,195.0,1.8e-05,,,51.992947,56.375196,8.849989,7.730421,3.89929,1.897885,2.148063,3.889452,0.248085
18_MOB_electrique_gwp205,electrique,205.0,1.9e-05,,,51.545514,31.609075,0.300988,7.730421,3.906746,2.678175,1.201585,1.083787,0.496508
17_MOB_electrique_gwp215,electrique,215.0,6.2e-05,,,52.923916,45.361892,3.123724,7.730421,7.186078,1.277108,0.290767,0.267165,0.569387
16_MOB_electrique_gwp225,electrique,225.0,5.9e-05,,,51.8338,45.894569,0.14476,7.730421,7.318209,1.391675,0.203548,1.403751,0.165426
15_MOB_electrique_gwp235,electrique,235.0,2.3e-05,,,51.720572,36.304631,41.524744,7.73042,5.658047,3.565811,0.401753,5.297281,0.260285
14_MOB_electrique_gwp245,electrique,245.0,3.9e-05,,,51.536765,51.995093,3.92736,7.73042,14.307601,2.591874,0.091606,1.060127,0.530951
