folder,techno_modifiee,gwp_constr,f_CAR_BEV,f_CAR_FUEL_CELL,f_CAR_HEV,f_TS_DHN_SEASONAL,f_METHANOL_STORAGE,f_TS_HIGH_TEMP,f_TS_DEC_HP_ELEC,f_BATT_LI,f_PHS,f_GASOLINE_STORAGE,f_LFO_STORAGE,f_DIESEL_STORAGE,f_AMMONIA_STORAGE,f_GAS_STORAGE,f_H2_STORAGE,f_TS_DEC_BOILER_WOOD,f_TS_DEC_THHP_GAS,f_TS_DEC_BOILER_GAS,f_TS_DEC_BOILER_OIL,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_COGEN_GAS,f_TS_DEC_COGEN_OIL,f_TS_DEC_ADVCOGEN_H2,f_TS_DEC_ADVCOGEN_GAS,f_TS_DHN_DAILY,f_BEV_BATT,f_PHEV_BATT
24_MOB_electrique_gwp0,electrique,0.0,3.3e-05,,,1077.23058,288.604297,71.27452,60.597553,32.810665,6.499973,2.511084,2.506307,2.506843,2.506439,0.007651,0.001454,0.000176,0.000176,0.000176,0.000176,0.000176,0.000176,0.000176,0.000176,0.000175,5.7e-05,3.3e-05,3e-06
39_MOB_electrique_gwp0,electrique,0.0,3.3e-05,,,1077.23058,288.604297,71.27452,60.597553,32.810665,6.499973,2.511084,2.506307,2.506843,2.506439,0.007651,0.001454,0.000176,0.000176,0.000176,0.000176,0.000176,0.000176,0.000176,0.000176,0.000175,5.7e-05,3.3e-05,3e-06
38_MOB_electrique_gwp5,electrique,5.0,2.3e-05,,,1077.175779,288.935056,71.273359,60.59851,32.811571,6.499963,1.494547,1.482573,1.486829,1.483095,0.004612,0.000884,0.000121,0.000121,0.000121,0.000121,0.000121,0.000121,0.000121,0.00012,0.00012,3.9e-05,2.3e-05,2e-06
37_MOB_electrique_gwp15,electrique,15.0,5e-06,,,1077.198846,288.429543,71.272062,60.600136,32.814903,6.499988,0.246222,0.243988,0.24264,0.243017,0.000766,0.000163,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,7e-06,5e-06,0.0
36_MOB_electrique_gwp25,electrique,25.0,3.3e-05,,,1077.135439,289.259106,71.277302,60.592592,32.8133,6.499958,1.949479,1.944099,1.943518,1.944068,0.006511,0.001201,0.000162,0.000162,0.000162,0.000162,0.000162,0.000162,0.000162,0.000162,0.000161,5.8e-05,3.3e-05,3e-06
35_MOB_electrique_gwp35,electrique,35.0,6.2e-05,,,1077.152486,291.297596,71.287109,60.579205,32.800897,6.499917,3.343375,3.371096,3.322142,3.341298,0.014461,0.002863,0.000451,0.000451,0.000451,0.000451,0.00045,0.000449,0.000449,0.000446,0.000446,0.000165,6.2e-05,7e-06
34_MOB_electrique_gwp45,electrique,45.0,9e-06,,,1077.130842,288.528074,71.279566,60.60129,32.813332,6.499966,0.739258,0.729483,0.734148,0.731966,0.002204,0.000428,6.2e-05,6.2e-05,6.2e-05,6.1e-05,6.1e-05,6.1e-05,6.1e-05,6.1e-05,6.1e-05,1.8e-05,9e-06,1e-06
33_MOB_electrique_gwp55,electrique,55.0,1.2e-05,,,1077.136986,290.012515,71.279032,60.600067,32.811721,6.499982,1.12224,1.123476,1.117953,1.119802,0.003419,0.000643,8.4e-05,8.4e-05,8.4e-05,8.4e-05,8.4e-05,8.4e-05,8.4e-05,8.4e-05,8.3e-05,2.8e-05,1.2e-05,1e-06
32_MOB_electrique_gwp65,electrique,65.0,3.8e-05,,,1077.180266,288.647927,71.275181,60.601333,32.814715,6.499783,2.303142,2.23527,2.255412,2.239999,0.006707,0.001393,0.00026,0.00026,0.00026,0.00026,0.000259,0.000259,0.000259,0.000257,0.000256,8.5e-05,3.7e-05,4e-06
31_MOB_electrique_gwp75,electrique,75.0,1.8e-05,,,1077.165369,288.965471,71.272955,60.598297,32.812366,6.499965,1.198314,1.189488,1.192785,1.190447,0.003892,0.000736,0.000101,0.000101,0.000101,0.000101,0.000101,0.000101,0.000101,0.000101,0.0001,3.5e-05,1.7e-05,2e-06
30_MOB_electrique_gwp85,electrique,85.0,7e-06,,,1077.168338,288.663564,71.272816,60.599864,32.814835,6.499969,0.4891,0.479236,0.484119,0.481814,0.001703,0.000337,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,1.9e-05,7e-06,1e-06
29_MOB_electrique_gwp95,electrique,95.0,7.5e-05,,,1077.22604,289.210394,71.273747,60.60443,32.813306,6.499653,5.389042,5.339425,5.318427,5.313774,0.017812,0.003528,0.000538,0.000538,0.000538,0.000537,0.000537,0.000536,0.000536,0.000534,0.000533,0.000201,7.5e-05,1e-05
28_MOB_electrique_gwp105,electrique,105.0,9.2e-05,,,1077.177198,289.295739,71.277208,60.593726,32.81145,6.499713,5.452773,5.385179,5.366445,5.362115,0.01827,0.003586,0.00063,0.00063,0.00063,0.00063,0.000629,0.000628,0.000628,0.000625,0.000623,0.000209,9.1e-05,1.2e-05
27_MOB_electrique_gwp115,electrique,115.0,5e-06,,,1077.194162,288.495413,71.272685,60.599584,32.815073,6.499995,0.452838,0.453758,0.451693,0.452507,0.001528,0.000289,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,1.3e-05,5e-06,1e-06
26_MOB_electrique_gwp125,electrique,125.0,1.2e-05,,,1077.172451,288.956894,71.272585,60.598439,32.811718,6.499986,1.185486,1.183878,1.182324,1.182142,0.003828,0.000735,9.4e-05,9.4e-05,9.4e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,3.2e-05,1.2e-05,2e-06
25_MOB_electrique_gwp135,electrique,135.0,7e-05,,,1077.153088,288.771666,71.273411,60.600912,32.815965,6.499813,6.045253,6.079216,6.010898,6.033214,0.019344,0.003936,0.000608,0.000608,0.000607,0.000607,0.000607,0.000606,0.000605,0.000603,0.000602,0.000172,6.9e-05,1e-05
24_MOB_electrique_gwp145,electrique,145.0,1.6e-05,,,1077.161711,289.036531,71.273279,60.598311,32.812556,6.499955,1.245992,1.239005,1.233501,1.233876,0.004187,0.000803,0.000122,0.000122,0.000122,0.000122,0.000122,0.000122,0.000122,0.000121,0.000121,4.4e-05,1.5e-05,2e-06
23_MOB_electrique_gwp155,electrique,155.0,2.4e-05,,,1077.217469,288.66547,71.273548,60.598163,32.812536,6.499901,1.727095,1.73409,1.709089,1.718342,0.007406,0.001365,0.000241,0.000241,0.000241,0.000241,0.000241,0.00024,0.00024,0.000238,0.000238,8.7e-05,2.4e-05,4e-06
22_MOB_electrique_gwp165,electrique,165.0,1.3e-05,,,1077.171847,288.309771,71.279596,60.602013,32.812761,6.49996,1.013616,1.008843,1.003958,1.006089,0.003611,0.000725,0.000109,0.000109,0.000109,0.000109,0.000109,0.000109,0.000109,0.000108,0.000108,3.8e-05,1.3e-05,2e-06
21_MOB_electrique_gwp175,electrique,175.0,1e-05,,,1077.179367,288.928465,71.273946,60.596392,32.812094,6.499954,0.792122,0.768274,0.780555,0.774006,0.002454,0.000474,7.1e-05,7.1e-05,7.1e-05,7.1e-05,7.1e-05,7.1e-05,7.1e-05,7.1e-05,7.1e-05,2.4e-05,1e-05,2e-06
