folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_PV,f_WIND_ONSHORE,f_WIND_OFFSHORE,f_CCGT_AMMONIA,f_HYDRO_RIVER,f_CCGT,f_COAL_IGCC,f_COAL_US,f_GEOTHERMAL,f_NUCLEAR
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,59.174995,10.0,6.0,0.647062,0.115,2e-06,0.0,0.0,0.0,0.0
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.894,1003.788108,59.174999,10.0,6.0,0.647026,0.115,1e-06,0.0,0.0,0.0,0.0
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.904,1003.480085,59.174995,10.0,6.0,0.648092,0.115,2e-06,0.0,0.0,0.0,0.0
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.914,1002.926883,59.174998,10.0,6.0,0.651818,0.115,1e-06,0.0,0.0,0.0,0.0
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.924,999.812267,59.174995,10.0,6.0,0.674216,0.115,2e-06,0.0,0.0,0.0,0.0
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.934,990.939552,59.174994,10.0,6.0,0.670096,0.115,3e-06,0.0,0.0,0.0,0.0
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.944,978.3761,59.174997,10.0,6.0,0.673582,0.115,1e-06,0.0,0.0,0.0,0.0
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.954,976.37241,59.174993,10.0,6.0,0.673499,0.115,3e-06,0.0,0.0,0.0,0.0
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.964,972.536979,59.174991,10.0,6.0,0.647551,0.115,4e-06,0.0,0.0,0.0,0.0
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.974,962.233645,59.174991,10.0,6.0,0.654991,0.115,3e-06,0.0,0.0,0.0,0.0
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.984,962.104433,59.174987,10.0,6.0,0.655054,0.115,5e-06,0.0,0.0,0.0,0.0
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.994,947.210714,59.174998,10.0,6.0,0.680684,0.115,1e-06,0.0,0.0,0.0,0.0
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.004,947.109488,59.174988,10.0,6.0,0.680662,0.115,6e-06,0.0,0.0,0.0,0.0
13_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.014,945.631525,59.174991,10.0,6.0,0.683207,0.115,4e-06,0.0,0.0,0.0,0.0
14_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.024,945.512791,59.17499,10.0,6.0,0.683366,0.115,5e-06,0.0,0.0,0.0,0.0
15_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.034,923.142419,59.174996,10.0,6.0,0.722166,0.115,2e-06,0.0,0.0,0.0,0.0
16_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.044,913.739958,59.174997,10.0,6.0,0.738436,0.115,1e-06,0.0,0.0,0.0,0.0
17_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.054,913.737425,59.174997,10.0,6.0,0.738444,0.115,2e-06,0.0,0.0,0.0,0.0
18_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.064,901.662863,59.174989,10.0,6.0,0.759139,0.115,5e-06,0.0,0.0,0.0,0.0
19_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.074,896.983672,59.174997,10.0,6.0,0.767281,0.115,2e-06,0.0,0.0,0.0,0.0
20_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.084,893.286801,59.174985,10.0,6.0,0.773358,0.115,8e-06,0.0,0.0,0.0,0.0
21_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.094,891.25311,59.174985,10.0,6.0,0.776759,0.115,9e-06,0.0,0.0,0.0,0.0
22_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.104,891.281715,59.174988,10.0,6.0,0.776841,0.115,6e-06,0.0,0.0,0.0,0.0
23_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.114,891.237927,59.174983,10.0,6.0,0.776774,0.115,8e-06,0.0,0.0,0.0,0.0
24_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.124,886.879738,59.174986,10.0,6.0,0.783751,0.115,8e-06,0.0,0.0,0.0,0.0
25_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.134,886.930722,59.174984,10.0,6.0,0.783979,0.115,8e-06,0.0,0.0,0.0,0.0
26_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.144,882.603457,59.174839,10.0,6.0,0.782408,0.115,7.4e-05,0.0,0.0,0.0,0.0
27_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.154,882.241763,59.174994,10.0,6.0,0.783102,0.115,2e-06,0.0,0.0,0.0,0.0
28_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.164,882.311321,59.174998,10.0,6.0,0.782363,0.115,1e-06,0.0,0.0,0.0,0.0
29_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1740000000000002,870.473257,59.174996,10.0,6.0,0.781686,0.115,2e-06,0.0,0.0,0.0,0.0
30_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1840000000000002,870.436122,59.174999,10.0,6.0,0.781777,0.115,0.0,0.0,0.0,0.0,0.0
31_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1940000000000002,863.028571,59.174996,10.0,6.0,0.777511,0.115,2e-06,0.0,0.0,0.0,0.0
32_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2040000000000002,854.612968,59.174995,10.0,6.0,0.773384,0.115,2e-06,0.0,0.0,0.0,0.0
33_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2140000000000002,849.726105,59.174998,10.0,6.0,0.771704,0.115,1e-06,0.0,0.0,0.0,0.0
