folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_IND_DIRECT_ELEC,f_IND_BOILER_GAS,f_IND_COGEN_GAS,f_IND_BOILER_WOOD,f_IND_BOILER_OIL,f_IND_BOILER_WASTE,f_IND_BOILER_COAL,f_IND_COGEN_WOOD,f_IND_COGEN_WASTE
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,18.152104,6.224151,5.210601,3.98323,1.4e-05,6e-06,4e-06,2e-06,0.0
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.894,1003.788108,18.152076,6.224062,5.210623,3.983309,4e-06,2e-06,1e-06,1e-06,0.0
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.904,1003.480085,18.150257,6.224169,5.21067,3.983241,1.3e-05,6e-06,3e-06,2e-06,1e-06
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.914,1002.926883,18.146688,6.224229,5.210879,3.98319,6e-06,3e-06,1e-06,1e-06,0.0
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.924,999.812267,18.123026,6.225538,5.212358,3.983569,1.4e-05,6e-06,4e-06,2e-06,1e-06
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.934,990.939552,18.088746,6.225811,5.212197,3.986321,1.8e-05,8e-06,5e-06,3e-06,1e-06
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.944,978.3761,18.049985,6.225948,5.21167,3.989444,7e-06,3e-06,2e-06,1e-06,0.0
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.954,976.37241,18.044106,6.225799,5.211522,3.989682,1.9e-05,8e-06,5e-06,3e-06,1e-06
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.964,972.536979,18.046344,6.224575,5.209554,3.991276,2.7e-05,1.2e-05,7e-06,4e-06,1e-06
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.974,962.233645,18.090524,6.209594,5.201266,3.966532,2e-05,9e-06,5e-06,3e-06,1e-06
