folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DHN_HP_ELEC,f_DHN_BOILER_GAS,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DHN_COGEN_WOOD,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DHN_DEEP_GEO
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,8.941853,1.6e-05,1.6e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.894,1003.788108,8.941767,4e-06,4e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.904,1003.480085,8.939614,1.6e-05,1.5e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.914,1002.926883,8.935728,7e-06,7e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.924,999.812267,8.913883,1.5e-05,1.4e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.934,990.939552,8.896344,1.9e-05,1.7e-05,9e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.944,978.3761,8.907804,8e-06,8e-06,4e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.954,976.37241,8.906868,2.2e-05,2e-05,1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.964,972.536979,8.931854,2.7e-05,2.5e-05,1.3e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.974,962.233645,8.929207,2.2e-05,1.9e-05,1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
