folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_TRUCK_ELEC,f_BOAT_FREIGHT_DIESEL,f_TRUCK_FUEL_CELL,f_BOAT_FREIGHT_METHANOL,f_TRUCK_DIESEL,f_TRAIN_FREIGHT,f_TRUCK_NG,f_BOAT_FREIGHT_NG,f_TRUCK_METHANOL
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,51.832367,28.401322,67.50605,1.977352,0.209944,7.73042,7.335634,8.176307,0.565524
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.894,1003.788108,52.876255,28.036735,12.639269,14.460836,2.741491,7.73042,7.888217,2.275083,1.698572
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.904,1003.480085,52.312008,27.983554,75.379374,12.883044,20.195542,7.73042,0.766559,2.114726,2.673716
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.914,1002.926883,53.660078,27.9688,11.412649,18.952679,4.081737,7.73042,11.31042,1.946311,2.0512
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.924,999.812267,51.479384,28.562863,3.427393,6.292645,2.706454,7.730421,2.411061,8.490048,0.391891
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.934,990.939552,52.045589,28.065195,30.818317,10.900037,14.304594,7.73042,0.229274,2.130621,1.123082
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.944,978.3761,52.00746,27.962953,27.078072,20.328701,12.403254,7.73042,0.132074,2.815275,0.522078
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.954,976.37241,51.880402,28.047399,15.122109,11.336035,15.444863,7.73042,0.862083,2.1827,3.234999
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.964,972.536979,53.081992,28.000921,8.750693,13.71346,24.547535,7.73042,0.266856,1.911962,0.968272
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.974,962.233645,51.597214,28.518578,18.709834,2.146661,19.780771,7.73042,1.540967,1.450713,5.095193
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.984,962.104433,52.497148,27.96909,46.19204,13.202227,17.057996,7.73042,2.280515,1.958139,2.521172
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.994,947.210714,52.527131,28.099365,3.671158,6.764961,9.779753,7.73042,0.774356,1.872195,1.370865
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.004,947.109488,53.066663,27.974162,20.138076,14.909344,3.102351,7.730419,8.280923,2.237975,1.33218
13_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.014,945.631525,53.381869,27.95165,30.060125,18.71685,3.60929,7.730419,10.624818,2.586258,2.260302
14_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.024,945.512791,52.908243,28.102013,22.743843,10.945305,2.130984,7.730418,5.803738,1.732269,0.838634
15_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.034,923.142419,51.748692,27.958321,66.558328,14.776111,18.044022,7.73042,13.190179,3.744619,14.46675
