folder,techno_modifiee,technology,f,gwp_constr
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.279501,0.884
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.504532,0.894
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.736323,0.904
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.453487,0.914
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.089247,0.924
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.918997,0.934
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.18379,0.944
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.580428,0.954
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.689272,0.964
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.718473,0.974
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.177552,0.984
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.010054,0.994
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.190298,1.004
13_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.486664,1.014
14_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.539461,1.024
15_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.478941,1.034
16_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.205742,1.044
17_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.376791,1.054
18_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.480791,1.064
19_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.376535,1.074
20_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.873562,1.084
21_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.095487,1.094
22_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.652806,1.104
